AAPL,2021-10-04T21:24:00+03:00,112.093206,117.306700,101.939390,108.463044
SBER,2021-10-04T21:24:00+03:00,218.810182,218.810182,201.182413,210.611714
NVDA,2021-10-04T21:24:00+03:00,313.291201,319.504832,301.312740,305.070810
TSLA,2021-10-04T21:24:00+03:00,408.754284,417.249829,400.566062,405.641620
AAPL,2021-10-04T21:25:00+03:00,115.772098,119.578587,103.658498,117.926835
SBER,2021-10-04T21:25:00+03:00,207.236110,219.098909,201.949092,206.441679
NVDA,2021-10-04T21:25:00+03:00,317.610862,319.538337,301.816746,314.422955
TSLA,2021-10-04T21:25:00+03:00,405.942245,419.719295,401.485820,412.890796
AAPL,2021-10-04T21:26:00+03:00,101.710410,114.583615,100.593426,110.784202
SBER,2021-10-04T21:26:00+03:00,213.391506,219.513496,200.038078,219.513496
NVDA,2021-10-04T21:26:00+03:00,312.454566,316.308103,300.010276,315.015261
TSLA,2021-10-04T21:26:00+03:00,407.393857,418.316426,400.606451,405.880126
AAPL,2021-10-04T21:27:00+03:00,115.063226,115.660699,100.503879,111.417033
SBER,2021-10-04T21:27:00+03:00,203.019281,219.159078,202.756081,210.255635
NVDA,2021-10-04T21:27:00+03:00,307.115345,315.944171,301.523805,313.683503
TSLA,2021-10-04T21:27:00+03:00,416.638617,418.592233,401.796722,413.060804
TSLA,2021-10-04T21:28:00+03:00,412.732884,414.293916,401.649594,401.649594
AAPL,2021-10-04T21:28:00+03:00,110.489995,116.529083,100.256518,106.237711
SBER,2021-10-04T21:28:00+03:00,213.085403,219.983190,200.613644,208.969287
NVDA,2021-10-04T21:28:00+03:00,314.327367,319.477637,301.069892,309.744785
AAPL,2021-10-04T21:29:00+03:00,113.436582,119.341887,100.296547,119.341887
SBER,2021-10-04T21:29:00+03:00,208.003766,219.709312,208.003766,216.664836
NVDA,2021-10-04T21:29:00+03:00,318.005503,318.005503,300.715093,306.190969
TSLA,2021-10-04T21:29:00+03:00,418.997664,419.965476,400.396173,416.117435
AAPL,2021-10-04T21:30:00+03:00,108.346517,119.163527,100.303626,108.271620
SBER,2021-10-04T21:30:00+03:00,214.370609,214.370609,200.374264,202.397010
NVDA,2021-10-04T21:30:00+03:00,308.134736,318.232274,300.153624,318.232274
TSLA,2021-10-04T21:30:00+03:00,417.916065,417.995003,401.075712,401.075712
AAPL,2021-10-04T21:31:00+03:00,104.578352,119.517905,103.631817,109.815880
SBER,2021-10-04T21:31:00+03:00,206.483479,219.374923,201.323028,201.323028
NVDA,2021-10-04T21:31:00+03:00,307.015303,319.065175,300.899814,305.249813
TSLA,2021-10-04T21:31:00+03:00,406.985775,418.509359,402.681683,418.509359
NVDA,2021-10-04T21:32:00+03:00,308.315039,319.782642,300.097596,316.657117
TSLA,2021-10-04T21:32:00+03:00,401.945232,419.209950,400.814399,419.209950
AAPL,2021-10-04T21:32:00+03:00,107.429733,119.252484,103.418921,111.951324
SBER,2021-10-04T21:32:00+03:00,208.188388,215.024813,200.088893,205.202493
TSLA,2021-10-04T21:33:00+03:00,415.129646,419.719887,410.407840,414.397711
AAPL,2021-10-04T21:33:00+03:00,118.734151,118.734151,101.639389,114.881452
SBER,2021-10-04T21:33:00+03:00,204.586405,218.385090,202.811506,209.103792
NVDA,2021-10-04T21:33:00+03:00,314.406262,319.350105,300.957367,304.968340
