AAPL,2021-10-04T21:24:00+03:00,112.093206,119.578587,101.939390,117.926835
SBER,2021-10-04T21:24:00+03:00,218.810182,219.098909,201.182413,206.441679
NVDA,2021-10-04T21:24:00+03:00,313.291201,319.538337,301.312740,314.422955
TSLA,2021-10-04T21:24:00+03:00,408.754284,419.719295,400.566062,412.890796
AAPL,2021-10-04T21:26:00+03:00,101.710410,115.660699,100.503879,111.417033
SBER,2021-10-04T21:26:00+03:00,213.391506,219.513496,200.038078,210.255635
NVDA,2021-10-04T21:26:00+03:00,312.454566,316.308103,300.010276,313.683503
TSLA,2021-10-04T21:26:00+03:00,407.393857,418.592233,400.606451,413.060804
TSLA,2021-10-04T21:28:00+03:00,412.732884,419.965476,400.396173,416.117435
AAPL,2021-10-04T21:28:00+03:00,110.489995,119.341887,100.256518,119.341887
SBER,2021-10-04T21:28:00+03:00,213.085403,219.983190,200.613644,216.664836
NVDA,2021-10-04T21:28:00+03:00,314.327367,319.477637,300.715093,306.190969
AAPL,2021-10-04T21:30:00+03:00,108.346517,119.517905,100.303626,109.815880
SBER,2021-10-04T21:30:00+03:00,214.370609,219.374923,200.374264,201.323028
NVDA,2021-10-04T21:30:00+03:00,308.134736,319.065175,300.153624,305.249813
TSLA,2021-10-04T21:30:00+03:00,417.916065,418.509359,401.075712,418.509359
